Node Number,Height,Location,Area,Mass Flow,Pressure,Velocity,Velocity.Curl,Velocity.Helicity,Wall Shear,X,Y,Z
5,Low,LCA,1.79245262e-07,-6.35271988e-07,1.60000000e+04,5.19245230e-02,3.94162140e+01,-8.24574828e-02,null,7.90562183e-02,1.07492775e-01,1.38913216e-02
6,Low,LCA,1.21104890e-07,-1.29734644e-06,1.60000000e+04,4.15473953e-02,5.14868393e+01,-8.25362802e-02,null,7.91938230e-02,1.07663170e-01,1.35469297e-02
7,Low,LCA,1.02176273e-07,-1.39180224e-06,1.60000000e+04,4.11269628e-02,4.78611946e+01,-8.40778947e-02,null,7.91210160e-02,1.07795820e-01,1.34169925e-02
8,Low,LCA,1.33982496e-07,-1.06166806e-06,1.60000000e+04,4.82792072e-02,3.67372475e+01,-1.25942916e-01,null,7.88211003e-02,1.07986473e-01,1.33802015e-02
9,Low,LCA,1.56729385e-07,-6.73175578e-07,1.60000000e+04,5.85852489e-02,3.26888084e+01,-1.76723868e-01,null,7.84873962e-02,1.08035751e-01,1.35674104e-02
10,Low,LCA,2.24453345e-07,-8.09509231e-07,1.60000000e+04,6.60531670e-02,2.61014862e+01,-1.68332696e-01,null,7.84347430e-02,1.07971802e-01,1.36974389e-02
11,Low,LCA,2.81179382e-07,-8.18160686e-07,1.60000000e+04,6.39641508e-02,2.64715023e+01,-1.06296599e-01,null,7.86978006e-02,1.07616611e-01,1.39930667e-02
12,Low,LCA,1.74120217e-07,-2.06222808e-06,1.60000000e+04,3.39495204e-02,5.56596985e+01,2.11939812e-02,null,7.92593956e-02,1.06591314e-01,1.49982730e-02
13,Low,LCA,1.81127959e-07,-1.99570809e-06,1.60000000e+04,4.83873077e-02,4.22056122e+01,4.50797677e-02,null,7.89864436e-02,1.06762454e-01,1.49681037e-02
14,Low,LCA,1.07702448e-07,-5.64036691e-06,1.60000000e+04,4.45198007e-02,4.92641411e+01,-1.69057533e-01,null,7.75664970e-02,1.08928755e-01,1.30234826e-02
15,Low,LCA,1.12682983e-07,-6.01202373e-06,1.60000000e+04,3.32852900e-02,6.35491600e+01,-9.65158343e-02,null,7.75242299e-02,1.09066531e-01,1.28629077e-02
16,Low,LCA,1.52024796e-07,-9.85279939e-07,1.60000000e+04,3.89850177e-02,6.35229607e+01,-9.64991450e-02,null,7.69935325e-02,1.09135956e-01,1.31731732e-02
17,Low,LCA,1.44393056e-07,-9.95341679e-07,1.60000000e+04,5.41569404e-02,4.63578148e+01,-1.65222645e-01,null,7.71063343e-02,1.08951010e-01,1.33456755e-02
18,Low,LCA,1.83834402e-07,-8.17133810e-07,1.60000000e+04,5.59118912e-02,3.97959557e+01,-1.95054531e-01,null,7.74638280e-02,1.08829312e-01,1.32416449e-02
19,Low,LCA,2.48051037e-07,-8.12870724e-07,1.60000000e+04,6.36297986e-02,2.80772209e+01,-2.04555422e-01,null,7.77388215e-02,1.08509347e-01,1.34787494e-02
20,Low,LCA,1.86186696e-07,-9.47016758e-07,1.60000000e+04,5.47463708e-02,3.45019112e+01,-1.70917362e-01,null,7.81502277e-02,1.08483247e-01,1.31993871e-02
21,Low,LCA,1.13985777e-07,-9.83269388e-07,1.60000000e+04,4.22667414e-02,4.69326172e+01,-1.25895470e-01,null,7.81646371e-02,1.08678341e-01,1.29149863e-02
22,Low,LCA,9.32490067e-08,-5.67235656e-06,1.60000000e+04,3.97439077e-02,5.15365105e+01,-1.25377074e-01,null,7.79923722e-02,1.08832784e-01,1.28308991e-02
23,Low,LCA,1.38187932e-08,-2.13032072e-05,1.59999941e+04,0.00000000e+00,4.45086937e+01,0.00000000e+00,2.83517003e-01,7.91421160e-02,1.08478732e-01,1.24440165e-02
24,Low,LCA,1.59777720e-08,-1.25940805e-05,1.60000098e+04,0.00000000e+00,4.59213486e+01,0.00000000e+00,2.99116492e-01,7.88618475e-02,1.08693764e-01,1.23579744e-02
25,Low,LCA,3.37493375e-08,-2.90488169e-05,1.60000000e+04,4.88348398e-03,5.33657227e+01,-2.47919932e-03,null,7.88281336e-02,1.08665779e-01,1.24230739e-02
26,Low,LCA,2.92630524e-08,-3.37786078e-05,1.60000000e+04,4.43031639e-03,5.18095932e+01,-2.00583786e-03,null,7.90973380e-02,1.08460397e-01,1.25040896e-02
